	1.2199320663423558E-5
10136	1.9768315344166374E-6	404
10137	1.9768315344166374E-6	786
10138	1.9768315344166374E-6	8849
10139	1.9768315344166374E-6	405
1014	0.0016018833584073413	105
10140	1.9768315344166374E-6	405
10141	1.9768315344166374E-6	639
10142	1.9768315344166374E-6	405
10143	1.9768315344166374E-6	405
10144	3.657138338670779E-6	405
10145	6.7657059265409415E-6	2289
10146	1.9768315344166374E-6	406
10147	1.9768315344166374E-6	729
10148	1.9768315344166374E-6	406
10149	1.9768315344166374E-6	406
1015	1.9768315344166374E-6	724
10150	1.9768315344166374E-6	406
10151	1.9768315344166374E-6	407
10152	2.0342339167622298E-5	19172
10153	5.3374451429249214E-6	407
10154	1.9768315344166374E-6	407
10155	1.9768315344166374E-6	18261
10156	1.9768315344166374E-6	3829
10157	1.9768315344166374E-6	407
10158	1.9768315344166374E-6	1172
10159	7.017751947179063E-6	1533
1016	1.802376151504369E-5	61
10160	1.9768315344166374E-6	408
10161	1.9768315344166374E-6	408
10162	1.9768315344166374E-6	2607
10163	3.657138338670779E-6	1857
10164	1.9768315344166374E-6	3178
10165	1.9768315344166374E-6	1172
10166	1.2370994930627497E-5	42643
10167	1.9768315344166374E-6	1044
10168	1.3486933143557507E-5	4039
10169	1.9768315344166374E-6	408
1017	1.659550073142767E-5	645
10170	4.771123309809038E-5	2032
10171	1.0378365555687345E-5	3655
10172	1.9768315344166374E-6	408
10173	1.9768315344166374E-6	408
10174	1.9768315344166374E-6	408
10175	1.9768315344166374E-6	408
10176	3.440448199475573E-5	47774
10177	1.9768315344166374E-6	409
10178	5.3374451429249214E-6	966
10179	1.9768315344166374E-6	2636
1018	6.412384713017297E-5	2401
10180	1.9768315344166374E-6	409
10181	1.9768315344166374E-6	409
10182	1.2886017732239324E-5	47781
10183	9.874273514411106E-6	20300
10184	5.3374451429249214E-6	1309
10185	1.9768315344166374E-6	409
10186	1.9768315344166374E-6	409
10187	1.9768315344166374E-6	6831
10188	1.9768315344166374E-6	409
10189	1.9768315344166374E-6	409
1019	1.533527062823706E-5	7
10190	1.9768315344166374E-6	1768
10191	1.9768315344166374E-6	2220
10192	8.206446509409718E-5	746
10193	1.9768315344166374E-6	410
10194	1.9768315344166374E-6	4227
10195	3.657138338670779E-6	1604
10196	5.3374451429249214E-6	4939
10197	1.9768315344166374E-6	410
10198	6.7657059265409415E-6	31
10199	5.0853991222868E-6	3173
102	1.7897004184859705E-4	2
1020	8.441121308267108E-5	1029
10200	1.9768315344166374E-6	410
10201	3.657138338670779E-6	808
10202	1.9768315344166374E-6	927
10203	1.9768315344166374E-6	410
10204	1.9768315344166374E-6	449
10205	1.9768315344166374E-6	410
10206	1.9768315344166374E-6	71396
10207	1.9768315344166374E-6	410
10208	3.657138338670779E-6	883
10209	8.54536087059661E-6	4653
1021	2.5342132268677106E-4	4521
10210	1.9768315344166374E-6	2371
10211	1.9768315344166374E-6	411
10212	5.3374451429249214E-6	2225
10213	1.9768315344166374E-6	411
10214	1.9768315344166374E-6	27
10215	1.9768315344166374E-6	31
10216	1.9768315344166374E-6	14649
10217	1.9768315344166374E-6	411
10218	1.9768315344166374E-6	411
10219	1.9768315344166374E-6	2444
1022	1.4411101885897286E-5	23
10220	1.9768315344166374E-6	411
10221	1.9768315344166374E-6	888
10222	1.9768315344166374E-6	411
10223	1.9768315344166374E-6	411
10224	1.2199320663423558E-5
10225	8.698058751433205E-6	8002
10226	3.2815973188641344E-5
10227	8.698058751433205E-6	4454
10228	3.657138338670779E-6	412
10229	1.9768315344166374E-6	412
1023	5.440240382714585E-5	13
10230	1.9768315344166374E-6	412
10231	1.9768315344166374E-6	5766
10232	1.9768315344166374E-6	539
10233	3.657138338670779E-6	413
10234	1.9768315344166374E-6	85
10235	1.9768315344166374E-6	413
10236	1.9768315344166374E-6	413
10237	1.9768315344166374E-6	3540
10238	1.9768315344166374E-6	295
10239	9.874273514411106E-6	413
1024	1.9021700117162422E-4	1
10240	1.9768315344166374E-6	25050
10241	5.3374451429249214E-6	2495
10242	1.9768315344166374E-6	414
10243	1.9768315344166374E-6	485
10244	3.657138338670779E-6	415
10245	1.9768315344166374E-6	1572
10246	1.9768315344166374E-6	8189
10247	1.9768315344166374E-6	415
10248	3.657138338670779E-6	415
10249	5.3374451429249214E-6	41747
1025	3.649031160821717E-4	133
10250	4.6488379319376906E-5	7048
10251	1.9768315344166374E-6	415
10252	1.0378365555687345E-5	47839
10253	1.9768315344166374E-6	23467
10254	1.9768315344166374E-6	415
10255	3.657138338670779E-6	1719
10256	1.1806626339303368E-5	8288
10257	3.657138338670779E-6	1324
10258	1.9768315344166374E-6	6171
10259	8.698058751433205E-6	136
1026	3.165820150338038E-5	74
10260	5.0853991222868E-6	6216
10261	3.657138338670779E-6	5032
10262	1.9768315344166374E-6	415
10263	1.9768315344166374E-6	415
10264	1.9768315344166374E-6	7429
10265	1.0378365555687345E-5	32409
10266	1.9768315344166374E-6	2476
10267	3.046423169060177E-5	684
10268	1.9768315344166374E-6	415
10269	1.9768315344166374E-6	3313
1027	2.0947495354445896E-5	2337
10270	1.9768315344166374E-6	416
10271	1.9768315344166374E-6	1619
10272	1.9768315344166374E-6	47867
10273	1.9768315344166374E-6	125
10274	3.0028926737913597E-5	47871
10275	3.657138338670779E-6	21860
10276	1.9768315344166374E-6	417
10277	1.9768315344166374E-6	417
10278	1.9768315344166374E-6	417
10279	1.9768315344166374E-6	1529
1028	3.727587672478552E-5	12203
10280	1.9768315344166374E-6	1440
10281	5.3374451429249214E-6	10970
10282	7.017751947179063E-6	417
10283	3.657138338670779E-6	417
10284	1.9768315344166374E-6	1440
10285	1.9768315344166374E-6	417
10286	1.9768315344166374E-6	2982
10287	1.9768315344166374E-6	417
10288	1.9768315344166374E-6	417
10289	1.2199320663423558E-5
1029	2.846144952716657E-4	1
10290	1.9768315344166374E-6	12461
10291	7.017751947179063E-6	1908
10292	1.9768315344166374E-6	418
10293	3.657138338670779E-6	2821
10294	7.017751947179063E-6	418
10295	3.657138338670779E-6	418
10296	1.2370994930627497E-5	21545
10297	3.657138338670779E-6	47890
10298	1.9768315344166374E-6	419
10299	1.9768315344166374E-6	419
103	7.633941430342635E-5	2
1030	1.528771213562549E-4	17008
10300	1.9768315344166374E-6	419
10301	1.9768315344166374E-6	419
10302	1.9768315344166374E-6	419
10303	1.9768315344166374E-6	419
10304	1.9768315344166374E-6	419
10305	1.9768315344166374E-6	18
10306	3.675771211402364E-5	2118
10307	1.0874056062942318E-5	19194
10308	1.7372642628395212E-5	420
10309	3.657138338670779E-6	1020
1031	2.5492725259953347E-5	286
10310	8.941703238050056E-6	11429
10311	1.0378365555687345E-5	8969
10312	4.807543959791247E-5	6677
10313	2.157800708972097E-5	766
10314	4.7358148128928946E-5	6285
10315	1.9768315344166374E-6	549
10316	1.9768315344166374E-6	10320
10317	1.0126319535049225E-5	15699
10318	3.657138338670779E-6	420
10319	1.9768315344166374E-6	10306
1032	6.312770905147917E-5	594
10320	3.657138338670779E-6	4416
10321	4.8503274826841914E-5	420
10322	6.7657059265409415E-6	420
10323	1.9768315344166374E-6	10318
10324	2.6911517890036554E-5	11093
10325	2.2445698908788997E-5	34217
10326	3.657138338670779E-6	4176
10327	1.9768315344166374E-6	28
10328	5.3374451429249214E-6	11190
10329	1.9768315344166374E-6	420
1033	8.393024153792554E-5	2118
10330	1.9768315344166374E-6	18
10331	1.9768315344166374E-6	420
10332	1.9768315344166374E-6	34773
10333	3.657138338670779E-6	737
10334	6.7657059265409415E-6	28576
10335	3.657138338670779E-6	789
10336	1.9768315344166374E-6	1445
10337	3.657138338670779E-6	420
10338	1.9768315344166374E-6	1617
10339	1.9768315344166374E-6	3134
1034	1.9768315344166374E-6	1328
10340	3.657138338670779E-6	13492
10341	1.9768315344166374E-6	997
10342	1.9768315344166374E-6	421
10343	3.657138338670779E-6	1719
10344	1.9768315344166374E-6	737
10345	1.9768315344166374E-6	763
10346	1.9768315344166374E-6	421
10347	3.657138338670779E-6	47970
10348	1.9768315344166374E-6	1577
10349	1.1554580318665248E-5	13
1035	1.8507034567223315E-4	17099
10350	1.9768315344166374E-6	23749
10351	1.9768315344166374E-6	9600
10352	1.9768315344166374E-6	1516
10353	5.3374451429249214E-6	422
10354	1.9768315344166374E-6	12298
10355	1.9768315344166374E-6	47979
10356	1.9768315344166374E-6	4615
10357	3.657138338670779E-6	661
10358	1.9768315344166374E-6	423
10359	1.9768315344166374E-6	10364
1036	1.541928596844977E-5	7437
10360	1.9768315344166374E-6	27733
10361	1.9768315344166374E-6	423
10362	1.9768315344166374E-6	10364
10363	1.9768315344166374E-6	11682
10364	1.901514252955363E-5	423
10365	1.9768315344166374E-6	7488
10366	5.3374451429249214E-6	1028
10367	1.9768315344166374E-6	424
10368	1.2370994930627497E-5
10369	1.0798442256750882E-5	2685
1037	6.513659905902821E-6	1163
10370	5.97363897636513E-5	13311
10371	1.2199320663423558E-5
10372	1.9768315344166374E-6	7125
10373	1.9768315344166374E-6	11825
10374	1.2199320663423558E-5
10375	9.874273514411106E-6	22805
10376	5.473848963781986E-5	48002
10377	3.657138338670779E-6	48006
10378	1.0126319535049225E-5	3524
10379	6.7657059265409415E-6	48012
1038	1.9768315344166374E-6	194
10380	8.193966710156963E-6	2463
10381	1.9768315344166374E-6	3718
10382	1.9768315344166374E-6	8754
10383	1.9768315344166374E-6	425
10384	1.9768315344166374E-6	1439
10385	8.698058751433205E-6	9504
10386	3.657138338670779E-6	5412
10387	5.3374451429249214E-6	18008
10388	3.371778492593996E-5	48021
10389	1.9768315344166374E-6	14493
1039	1.9768315344166374E-6	979
10390	1.9768315344166374E-6	425
10391	1.9768315344166374E-6	425
10392	1.9768315344166374E-6	1910
10393	1.9768315344166374E-6	2008
10394	1.9768315344166374E-6	48026
10395	2.0451804847190923E-5	7889
10396	3.657138338670779E-6	42057
10397	1.9768315344166374E-6	1403
10398	1.9768315344166374E-6	427
10399	1.9768315344166374E-6	1277
104	4.576236804169274E-4	335
1040	3.657138338670779E-6	17138
10400	1.9768315344166374E-6	27335
10401	1.9768315344166374E-6	428
10402	5.3374451429249214E-6	428
10403	6.7657059265409415E-6	4000
10404	3.657138338670779E-6	15877
10405	1.9768315344166374E-6	10406
10406	3.657138338670779E-6	429
10407	1.9768315344166374E-6	429
10408	1.9768315344166374E-6	429
10409	1.9768315344166374E-6	429
1041	1.9768315344166374E-6	1753
10410	7.017751947179063E-6	12135
10411	1.9768315344166374E-6	429
10412	1.9768315344166374E-6	48044
10413	1.0126319535049225E-5	9085
10414	5.3374451429249214E-6	10420
10415	3.657138338670779E-6	2264
10416	3.884183579175458E-5	39891
10417	1.0126319535049225E-5	1620
10418	3.657138338670779E-6	11574
10419	1.9768315344166374E-6	17099
1042	5.3374451429249214E-6	1029
10420	1.1302534298027125E-5	10428
10421	3.657138338670779E-6	20376
10422	2.0657642430712054E-5	20011
10423	1.1302534298027125E-5	1620
10424	6.230241611227493E-5	33390
10425	3.657138338670779E-6	10420
10426	7.727681571976438E-6	21310
10427	8.193966710156963E-6	808
10428	4.318930694757443E-5	4416
10429	1.0369964021666075E-5	6171
1043	1.9768315344166374E-6	295
10430	4.2820049025422055E-5	429
10431	5.3374451429249214E-6	2525
10432	4.12521020940263E-5	48100
10433	7.590851019826938E-5	34806
10434	9.874273514411106E-6	48111
10435	1.9768315344166374E-6	429
10436	3.890936600542536E-5	48118
10437	1.9768315344166374E-6	429
10438	1.9768315344166374E-6	1753
10439	9.622227493772982E-6	9504
1044	3.657138338670779E-6	22
10440	3.657138338670779E-6	4416
10441	1.9768315344166374E-6	2638
10442	2.7378869647728624E-5	429
10443	1.9768315344166374E-6	28019
10444	1.9768315344166374E-6	429
10445	2.1591903515794883E-5	4416
10446	1.9768315344166374E-6	6521
10447	3.657138338670779E-6	429
10448	3.657138338670779E-6	15844
10449	7.719838477396263E-5	5869
1045	1.9768315344166374E-6	775
10450	1.9768315344166374E-6	717
10451	5.3374451429249214E-6	398
10452	1.2370994930627497E-5
10453	7.017751947179063E-6	12221
10454	1.9768315344166374E-6	431
10455	1.9768315344166374E-6	8653
10456	1.9768315344166374E-6	5414
10457	1.9768315344166374E-6	737
10458	5.3374451429249214E-6	431
10459	1.1088295180484723E-5	18
1046	6.7657059265409415E-6	975
10460	1.9768315344166374E-6	669
10461	1.9768315344166374E-6	431
10462	1.9768315344166374E-6	431
10463	1.9768315344166374E-6	431
10464	1.9768315344166374E-6	1011
10465	1.9768315344166374E-6	431
10466	1.9768315344166374E-6	26175
10467	7.017751947179063E-6	2110
10468	1.9768315344166374E-6	12606
10469	3.0196114043411223E-5	431
1047	3.657138338670779E-6	22
10470	2.4337514332028625E-5	431
10471	3.657138338670779E-6	1304
10472	1.9768315344166374E-6	5054
10473	1.0378365555687345E-5	431
10474	1.9768315344166374E-6	3685
10475	3.657138338670779E-6	1521
10476	3.0339780275174952E-5	31550
10477	7.017751947179063E-6	16571
10478	1.3234887122919387E-5	14514
10479	1.9768315344166374E-6	431
1048	1.9768315344166374E-6	122
10480	1.9768315344166374E-6	431
10481	1.2768601984738862E-5	48210
10482	3.367434452466104E-5	48215
10483	1.1088295180484723E-5	9298
10484	1.9768315344166374E-6	1400
10485	7.017751947179063E-6	27151
10486	3.657138338670779E-6	8217
10487	3.657138338670779E-6	4415
10488	1.9768315344166374E-6	37759
10489	1.9768315344166374E-6	12908
1049	8.193966710156962E-6	27
10490	1.9768315344166374E-6	431
10491	1.9768315344166374E-6	22177
10492	5.3374451429249214E-6	32170
10493	2.0153550389435815E-5	15196
10494	5.3374451429249214E-6	6649
10495	5.3374451429249214E-6	1429
10496	3.657138338670779E-6	1753
10497	5.3374451429249214E-6	452
10498	5.961783302815997E-5	8363
10499	1.398262365081248E-5	2512
105	0.0014217153508563026	34
1050	1.9768315344166374E-6	775
10500	3.33239914567595E-5	40571
10501	1.2370994930627497E-5
10502	1.2199320663423558E-5
10503	3.657138338670779E-6	9388
10504	9.874273514411106E-6	15205
10505	4.817686711738426E-5	36109
10506	2.377461155260349E-5	19480
10507	1.9768315344166374E-6	432
10508	1.9768315344166374E-6	432
10509	1.9768315344166374E-6	432
1051	3.657138338670779E-6	2636
10510	1.9768315344166374E-6	432
10511	7.017751947179063E-6	13694
10512	6.7657059265409415E-6	3857
10513	1.9768315344166374E-6	41869
10514	7.017751947179063E-6	5504
10515	3.657138338670779E-6	432
10516	1.9768315344166374E-6	432
10517	1.9768315344166374E-6	25199
10518	1.9768315344166374E-6	432
10519	1.3020648005376982E-5	12604
1052	1.9768315344166374E-6	32
10520	1.9768315344166374E-6	432
10521	7.017751947179063E-6	1178
10522	3.657138338670779E-6	849
10523	1.9768315344166374E-6	432
10524	1.9768315344166374E-6	1398
10525	1.9768315344166374E-6	11376
10526	1.9768315344166374E-6	2687
10527	1.9768315344166374E-6	432
10528	1.9768315344166374E-6	432
10529	1.9768315344166374E-6	994
1053	1.9768315344166374E-6	1892
10530	5.3374451429249214E-6	2229
10531	1.9768315344166374E-6	2975
10532	3.657138338670779E-6	7593
10533	5.3374451429249214E-6	14342
10534	8.698058751433205E-6	12
10535	1.9768315344166374E-6	433
10536	1.9768315344166374E-6	7166
10537	1.9768315344166374E-6	7470
10538	1.9768315344166374E-6	434
10539	1.9768315344166374E-6	434
1054	1.9768315344166374E-6	295
10540	1.9768315344166374E-6	434
10541	1.9768315344166374E-6	3184
10542	1.9768315344166374E-6	5205
10543	1.9768315344166374E-6	4034
10544	1.9768315344166374E-6	435
10545	5.3374451429249214E-6	737
10546	1.9768315344166374E-6	5354
10547	1.9768315344166374E-6	10445
10548	3.657138338670779E-6	2538
10549	3.657138338670779E-6	6470
1055	1.9768315344166374E-6	2793
10550	1.1806626339303368E-5	436
10551	2.0161951923457085E-5	398
10552	1.9768315344166374E-6	436
10553	5.3374451429249214E-6	3936
10554	3.657138338670779E-6	21105
10555	5.0853991222868E-6	10568
10556	3.657138338670779E-6	48334
10557	1.9768315344166374E-6	10559
10558	1.9768315344166374E-6	10559
10559	1.8908653085834025E-5	46869
1056	9.011646008777134E-6	375
10560	1.9768315344166374E-6	10440
10561	1.1653928458466771E-5	27720
10562	3.657138338670779E-6	9326
10563	1.9768315344166374E-6	436
10564	1.9768315344166374E-6	2144
10565	1.08362491598466E-5	7184
10566	1.9768315344166374E-6	10571
10567	7.94192068951884E-6	39876
10568	6.299420788360417E-6	13036
10569	1.9768315344166374E-6	436
1057	1.9768315344166374E-6	10011
10570	1.9768315344166374E-6	39874
10571	1.375740845416716E-5	1540
10572	1.9768315344166374E-6	436
10573	1.9768315344166374E-6	9333
10574	3.657138338670779E-6	3946
10575	1.2542669197831443E-5	32756
10576	5.3374451429249214E-6	48353
10577	1.9768315344166374E-6	436
10578	1.9768315344166374E-6	436
10579	1.9768315344166374E-6	436
1058	1.9768315344166374E-6	10691
10580	3.657138338670779E-6	437
10581	1.9768315344166374E-6	437
10582	1.9768315344166374E-6	699
10583	1.9768315344166374E-6	5201
10584	1.9768315344166374E-6	437
10585	1.9768315344166374E-6	438
10586	1.9768315344166374E-6	438
10587	1.9768315344166374E-6	8528
10588	1.9768315344166374E-6	438
10589	2.169523188233899E-5	6500
1059	2.491301941248567E-5	16252
10590	1.9768315344166374E-6	438
10591	3.657138338670779E-6	18
10592	3.657138338670779E-6	48361
10593	1.9768315344166374E-6	888
10594	1.2886017732239324E-5
10595	1.9768315344166374E-6	997
10596	6.7657059265409415E-6	9794
10597	1.2542669197831443E-5
10598	1.0126319535049225E-5	381
10599	6.738845542739098E-5	15945
106	5.3374451429249214E-6	449
1060	1.9768315344166374E-6	310
10600	1.9768315344166374E-6	35285
10601	1.9768315344166374E-6	439
10602	1.9768315344166374E-6	439
10603	1.9768315344166374E-6	439
10604	6.299420788360417E-6	688
10605	5.0853991222868E-6	439
10606	3.106156226570299E-5	18
10607	3.657138338670779E-6	9479
10608	3.657138338670779E-6	790
10609	3.657138338670779E-6	1575
10610	1.9768315344166374E-6	645
10611	1.9768315344166374E-6	440
10612	1.9768315344166374E-6	440
10613	1.9768315344166374E-6	440
10614	5.3374451429249214E-6	7051
10615	1.9768315344166374E-6	4875
10616	1.9768315344166374E-6	440
10617	1.9768315344166374E-6	48396
10618	1.9768315344166374E-6	4412
10619	1.9768315344166374E-6	9324
1062	1.9768315344166374E-6	127
10620	1.9768315344166374E-6	24678
10621	6.7657059265409415E-6	17684
10622	1.9768315344166374E-6	440
10623	5.3374451429249214E-6	3852
10624	8.698058751433205E-6	48406
10625	1.9768315344166374E-6	440
10626	1.9768315344166374E-6	17900
10627	6.513659905902821E-6	48411
10628	5.0853991222868E-6	48413
10629	1.0126319535049225E-5	21560
1063	1.9768315344166374E-6	1119
10630	3.657138338670779E-6	48418
10631	1.9768315344166374E-6	48419
10632	6.513659905902821E-6	48422
10633	3.657138338670779E-6	14626
10634	3.657138338670779E-6	3463
10635	1.9768315344166374E-6	9769
10636	1.0126319535049225E-5	10647
10637	9.874273514411102E-6	9827
10638	2.828709647926304E-5	10647
10639	3.657138338670779E-6	10637
1064	5.0853991222868E-6	12133
10640	1.9768315344166374E-6	3483
10641	1.9768315344166374E-6	442
10642	7.017751947179063E-6	1516
10643	2.8976421341873248E-5	10638
10644	5.3374451429249214E-6	442
10645	7.017751947179063E-6	442
10646	5.505694891187779E-5	43510
10647	3.798884875509034E-5	10646
10648	1.9768315344166374E-6	10647
10649	1.3486933143557507E-5	10646
1065	1.9768315344166374E-6	61
10650	1.9768315344166374E-6	10637
10651	1.9768315344166374E-6	442
10652	1.9768315344166374E-6	442
10653	1.9768315344166374E-6	4567
10654	1.9768315344166374E-6	10645
10655	3.657138338670779E-6	10637
10656	1.9768315344166374E-6	1617
10657	1.9768315344166374E-6	45570
10658	1.9768315344166374E-6	10647
10659	1.9768315344166374E-6	10655
1066	1.9768315344166374E-6	104
10660	1.9768315344166374E-6	10646
10661	1.5587316648875182E-5	644
10662	1.961291167516704E-5	2
10663	3.12496769115961E-5	48460
10664	1.9768315344166374E-6	443
10665	1.9768315344166374E-6	443
10666	1.9768315344166374E-6	443
10667	1.9768315344166374E-6	48467
10668	1.9768315344166374E-6	443
10669	1.9768315344166374E-6	645
1067	1.9768315344166374E-6	1309
10670	1.9768315344166374E-6	551
10671	1.9768315344166374E-6	443
10672	5.0853991222868E-6	20821
10673	1.9768315344166374E-6	445
10674	2.7076204384612343E-5	8022
10675	1.533527062823706E-5	18
10676	1.9768315344166374E-6	48488
10677	1.2199320663423558E-5
10678	1.9768315344166374E-6	8112
10679	1.9768315344166374E-6	8112
1068	1.9768315344166374E-6	154
10680	1.9768315344166374E-6	19742
10681	1.9768315344166374E-6	48495
10682	3.657138338670779E-6	6769
10683	1.9768315344166374E-6	445
10684	1.9768315344166374E-6	445
10685	1.9768315344166374E-6	4799
10686	3.657138338670779E-6	48497
10687	1.9768315344166374E-6	48499
10688	1.9768315344166374E-6	445
10689	1.9768315344166374E-6	4503
1069	1.347853160953624E-5	443
10690	1.9768315344166374E-6	445
10691	8.698058751433205E-6	26850
10692	5.918266999623527E-5	48505
10693	1.9768315344166374E-6	5273
10694	1.0164592043747287E-4	446
10695	1.9768315344166374E-6	18
10696	9.874273514411102E-6	44
10697	8.698058751433205E-6	1640
10698	4.5328747084173486E-5	48537
10699	5.3374451429249214E-6	3593
107	1.9349871987802957E-4	5813
1070	1.9768315344166374E-6	411
10700	1.2768601984738862E-5	6291
10701	1.2058672359941488E-5	3014
10702	1.9768315344166374E-6	6786
10703	3.448236666271301E-5	143
10704	1.0378365555687345E-5	18
10705	1.9548240867038317E-5	18
10706	1.9768315344166374E-6	446
10707	3.657138338670779E-6	23360
10708	1.3229366266647208E-5
10709	1.9768315344166374E-6	446
1071	6.7657059265409415E-6	180
10710	1.9768315344166374E-6	446
10711	1.9768315344166374E-6	446
10712	1.9768315344166374E-6	446
10713	1.9768315344166374E-6	446
10714	1.9768315344166374E-6	446
10715	1.9768315344166374E-6	446
10716	1.9768315344166374E-6	11227
10717	3.657138338670779E-6	446
10718	1.9768315344166374E-6	446
10719	1.9768315344166374E-6	446
1072	1.9768315344166374E-6	17170
10720	1.9768315344166374E-6	16659
10721	2.1842258727711227E-5	143
10722	1.9768315344166374E-6	446
10723	3.392305553908195E-5	5331
10724	1.9768315344166374E-6	446
10725	1.9768315344166374E-6	446
10726	2.4997034752698374E-5	4260
10727	1.9768315344166374E-6	446
10728	1.9768315344166374E-6	446
